,Symbol,Company Name,Stock Price,Change,Percentage Change,Volume(M),Average Volume Month(M),Market Cap,PE Ratio(TTM)
0,TSLA,"Tesla, Inc.",275.26,+3.96,+1.46%,52.843,124.597,873.672B,80.49
1,AMZN,"Amazon.com, Inc.",145.33,+0.48,+0.33%,25.03,53.373,1.499T,117.20
2,AAPL,Apple Inc.,175.54,+1.33,+0.76%,23.906,57.332,2.744T,29.45
3,AMD,"Advanced Micro Devices, Inc.",107.96,+0.25,+0.23%,21.021,62.536,174.444B,N/A
4,T,AT&T Inc.,15.06,+0.44,+3.04%,20.777,44.026,107.7B,N/A
5,TLRY,"Tilray Brands, Inc.",3.0350,+0.0950,+3.23%,19.176,29.861,2.487B,N/A
6,PLTR,Palantir Technologies Inc.,15.84,+0.24,+1.54%,17.487,65.364,34.085B,N/A
7,NVDA,NVIDIA Corporation,458.38,+3.53,+0.78%,15.082,50.481,1.132T,110.45
8,F,Ford Motor Company,12.53,-0.11,-0.83%,14.858,51.053,50.168B,11.94
9,RIOT,"Riot Platforms, Inc.",11.04,+0.76,+7.37%,11.705,22.232,2.045B,N/A
10,VALE,Vale S.A.,14.37,+0.67,+4.89%,11.797,19.906,61.92B,5.91
11,BAC,Bank of America Corporation,29.32,+0.44,+1.51%,11.327,42.146,232.948B,8.42
12,CCL,Carnival Corporation & plc,15.73,+0.70,+4.69%,11.14,35.084,20.538B,N/A
13,PCG,PG&E Corporation,17.26,+0.19,+1.14%,11.085,16.038,43.184B,18.97
14,NIO,NIO Inc.,10.27,+0.20,+2.01%,10.996,60.971,18.271B,N/A
15,NOK,Nokia Oyj,4.0275,+0.0175,+0.44%,10.79,16.332,22.34B,5.16
16,PBR,Petróleo Brasileiro S.A. - Petrobras,15.32,+0.51,+3.48%,10.209,20.661,99.951B,3.30
17,CVNA,Carvana Co.,55.42,+6.19,+12.57%,9.832,20.912,9.843B,N/A
18,AAL,American Airlines Group Inc.,13.27,-0.05,-0.34%,9.72,23.482,8.667B,3.39
19,RIVN,"Rivian Automotive, Inc.",23.81,+0.56,+2.41%,9.674,50.35,22.575B,N/A
20,BBD,Banco Bradesco S.A.,3.0701,+0.0401,+1.32%,9.326,20.735,32.623B,11.37
21,INTC,Intel Corporation,38.69,-0.02,-0.05%,9.221,39.651,162.034B,N/A
22,NEWR,"New Relic, Inc.",85.38,-0.08,-0.09%,9.04,1.324,6.003B,N/A
23,GOOGL,Alphabet Inc.,138.02,+1.31,+0.96%,8.296,29.303,1.745T,29.55
24,VZ,Verizon Communications Inc.,34.14,+0.28,+0.83%,7.673,24.588,143.526B,6.83
25,TSLA,"Tesla, Inc.",275.26,+3.96,+1.46%,52.843,124.597,873.672B,80.49
26,AMZN,"Amazon.com, Inc.",145.33,+0.48,+0.33%,25.03,53.373,1.499T,117.20
27,AAPL,Apple Inc.,175.54,+1.33,+0.76%,23.906,57.332,2.744T,29.45
28,AMD,"Advanced Micro Devices, Inc.",107.96,+0.25,+0.23%,21.021,62.536,174.444B,N/A
29,T,AT&T Inc.,15.06,+0.44,+3.04%,20.777,44.026,107.7B,N/A
30,TLRY,"Tilray Brands, Inc.",3.0350,+0.0950,+3.23%,19.176,29.861,2.487B,N/A
31,PLTR,Palantir Technologies Inc.,15.84,+0.24,+1.54%,17.487,65.364,34.085B,N/A
32,NVDA,NVIDIA Corporation,458.38,+3.53,+0.78%,15.082,50.481,1.132T,110.45
33,F,Ford Motor Company,12.53,-0.11,-0.83%,14.858,51.053,50.168B,11.94
34,RIOT,"Riot Platforms, Inc.",11.04,+0.76,+7.37%,11.705,22.232,2.045B,N/A
35,VALE,Vale S.A.,14.37,+0.67,+4.89%,11.797,19.906,61.92B,5.91
36,BAC,Bank of America Corporation,29.32,+0.44,+1.51%,11.327,42.146,232.948B,8.42
37,CCL,Carnival Corporation & plc,15.73,+0.70,+4.69%,11.14,35.084,20.538B,N/A
38,PCG,PG&E Corporation,17.26,+0.19,+1.14%,11.085,16.038,43.184B,18.97
